"item_name","location_name","closing_quantity","closing_rate","closing_value"
"BLACK PREMIUM 310GSM 101CMS REEL-69824905","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00002eb7","0","0","0"
"BLACK PREMIUM 310GSM 101CMS REEL-69824906","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 310GSM 101CMS REEL-69824906","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00002eb7","0","0","0"
"BLACK PREMIUM 310GSM 101CMS REEL69824908","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 310GSM 101CMS REEL69824908","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00002eb7","0","0","0"
"BLACK PREMIUM 310GSM 58CMS REEL-85102292","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 310GSM 58CMS REEL-85102295","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 310GSM 58CMS REEL-85102303","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 350GSM 110CMS REEL-654002811749","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 350GSM 110CMS REEL-654002811750","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 350GSM 110CMS REEL-654002811751","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 350GSM 110CMS REEL-654002811752","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 350GSM 120CMS REEL-654002817392","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 350GSM 59.4CMS REEL-67043952-","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 350GSM 70CMS REEL-","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 350GSM 70X91.5CMS 22.40KGS","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 350GSM 90CMS REEL-654002817393","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 350GSM 93.5CMS REEL-654002811753","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 350GSM 93.5CMS REEL-654002811754","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 350GSM 93.5CMS REEL-654002811755","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 350GSM 93.5CMS REEL-654002811756","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 350GSM 93.5CMS REEL-654002817394","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 350GSM 93.5CMS REEL-654002817395","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 350GSM 93.5CMS REEL-654002817396","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 350GSM 93.5CMS REEL-654002817397","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 350GSM 95.6CMS REEL-69824909","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 350GSM 95.6CMS REEL-69824909","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00002eb7","0","0","0"
"BLACK PREMIUM 360GSM 110CMS REEL","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 360GSM 110CMS REEL-654002811749","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 360GSM 110CMS REEL-654002811750","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 360GSM 110CMS REEL-654002811751","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 360GSM 110CMS REEL-654002811752","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 360GSM 120CMS REEL-654002817392","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 360GSM 70CMS REEL-85102801","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 360GSM 70CMS REEL-85102803","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 360GSM 70CMS REEL-85102825","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 360GSM 70CMS REEL-85102828","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 360GSM 70CMS REEL-85102830","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 360GSM 70CMS REEL-85102847","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 360GSM 70CMS REEL-85102849","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 360GSM 70CMS REEL-85102858","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 360GSM 70CMS REEL-85102860","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 360GSM 70CMS REEL-85102883","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 360GSM 70CMS REEL-85102885","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 360GSM 70CMS REEL-885102809","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 360GSM 70CMS REEL-885102823","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 360GSM 70X112CMS 28.20KGS","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 360GSM 90CMS REEL-654002817393","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 360GSM 93.5CMS REEL-654002811753","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 360GSM 93.5CMS REEL-654002811754","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 360GSM 93.5CMS REEL-654002811755","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 360GSM 93.5CMS REEL-654002811756","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 360GSM 93.5CMS REEL-654002817394","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 360GSM 93.5CMS REEL-654002817395","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 360GSM 93.5CMS REEL-654002817396","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 360GSM 93.5CMS REEL-654002817397","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 380GSM 52CMS REEL-85103832","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 380GSM 52CMS REEL-85103835","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 450GSM 82CMS REEL-654003061459","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLUE CENTER ART CARD 270GSM 138CMS REEL-69432395","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLUE CENTER ART CARD 270GSM 138CMS REEL-69432396","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLUE CENTER ART CARD 270GSM 69CMS REEL-1","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLUE CENTER ART CARD 270GSM 69CMS REEL-2","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLUE CENTER ART CARD 270GSM 69CMS REEL-3","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLUE CENTER ART CARD 270GSM 69CMS REEL-4","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLUE CENTER ART CARD 270GSM 69CMS REEL-5","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLUE CENTER ART CARD 270GSM 69CMS REEL-6","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
